,,'berço oeste','berço leste','retomadora','c3'
,'Timestamp','WIT_798A-OE','WIT_798A-LE','309TP003-WQI003-R','309TP003-WQI004-R'
,22/01/2011 13:00:00,40887,0,'1234815,63','1215264,88'
,22/01/2011 13:10:00,40887,0,'1235387,88','1215264,88'
,22/01/2011 13:20:00,40887,0,'1235956,38','1215264,88'
,22/01/2011 13:30:00,40887,0,'1236523,38','1215264,88'
,22/01/2011 13:40:00,40887,0,'1237089,5','1215264,88'
,22/01/2011 13:50:00,40887,0,'1237656,88','1215264,88'
,22/01/2011 14:00:00,40887,0,'1238224,75','1215264,88'
,22/01/2011 14:10:00,40887,0,'1238799,5','1215264,88'
,22/01/2011 14:20:00,40887,0,'1239371,38','1215264,88'
,22/01/2011 14:30:00,40887,0,'1239943,63','1215264,88'
,22/01/2011 14:40:00,40887,0,'1240519,5','1215264,88'
,22/01/2011 14:50:00,40887,0,'1241092,25','1215264,88'
,22/01/2011 15:00:00,40887,0,'1241664,75','1215264,88'
,22/01/2011 15:10:00,40887,0,'1242235,25','1215264,88'
,22/01/2011 15:20:00,40887,0,'1242804,5','1215264,88'
,22/01/2011 15:30:00,40887,0,'1243373,63','1215264,88'
,22/01/2011 15:40:00,40887,0,'1243943,5','1215264,88'
,22/01/2011 15:50:00,40887,0,'1244513,38','1215264,88'
,22/01/2011 16:00:00,40887,0,'1245084,25','1215264,88'
,22/01/2011 16:10:00,40887,0,1245655,'1215264,88'
,22/01/2011 16:20:00,40887,0,'1246227,63','1215264,88'
,22/01/2011 16:30:00,40887,0,'1246799,25','1215264,88'
,22/01/2011 16:40:00,40887,0,'1247371,38','1215264,88'
,22/01/2011 16:50:00,40887,0,'1247943,25','1215264,88'
,22/01/2011 17:00:00,40887,0,'1248515,63','1215264,88'
,22/01/2011 17:10:00,40887,0,'1249088,63','1215264,88'
,22/01/2011 17:20:00,40887,0,'1249660,88','1215264,88'
,22/01/2011 17:30:00,40887,0,'1250231,63','1215264,88'
,22/01/2011 17:40:00,40887,0,'1250803,63','1215264,88'
,22/01/2011 17:50:00,40887,0,'1251375,75','1215264,88'
,22/01/2011 18:00:00,40887,0,'1251946,5','1215264,88'
,22/01/2011 18:10:00,40887,0,1252517,'1215264,88'
,22/01/2011 18:20:00,40887,0,'1253087,75','1215264,88'
,22/01/2011 18:30:00,40887,0,'1253659,63','1215264,88'
,22/01/2011 18:40:00,40887,0,'1254232,13','1215264,88'
,22/01/2011 18:50:00,40887,0,'1254803,75','1215264,88'
,22/01/2011 19:00:00,40887,0,'1255375,75','1215264,88'
,22/01/2011 19:10:00,40887,0,'1255948,13','1215264,88'
,22/01/2011 19:20:00,40887,0,'1256520,75','1215264,88'
,22/01/2011 19:30:00,40887,0,'1257092,88','1215264,88'
,22/01/2011 19:40:00,40887,0,'1257665,75','1215264,88'
,22/01/2011 19:50:00,40887,0,'1258238,63','1215264,88'
,22/01/2011 20:00:00,40887,0,'1258811,38','1215264,88'
,22/01/2011 20:10:00,40887,0,'1259383,75','1215264,88'
,22/01/2011 20:20:00,40887,0,'1259956,13','1215264,88'
,22/01/2011 20:30:00,40887,0,'1260528,25','1215264,88'
,22/01/2011 20:40:00,40887,0,'1261100,13','1215264,88'
,22/01/2011 20:50:00,40887,0,'1261671,88','1215264,88'
,22/01/2011 21:00:00,40887,0,'1262243,5','1215264,88'
,22/01/2011 21:10:00,40887,0,1262815,'1215264,88'
,22/01/2011 21:20:00,40887,0,'1263386,38','1215264,88'
,22/01/2011 21:30:00,40887,0,'1263957,5','1215264,88'
,22/01/2011 21:40:00,40887,0,'1264528,63','1215264,88'
,22/01/2011 21:50:00,40887,0,'1265099,63','1215264,88'
,22/01/2011 22:00:00,40887,0,'1265670,75','1215264,88'
,22/01/2011 22:10:00,40887,0,'1266241,75','1215264,88'
,22/01/2011 22:20:00,40887,0,'1266812,88','1215264,88'
,22/01/2011 22:30:00,40887,0,'1267384,13','1215264,88'
,22/01/2011 22:40:00,40887,0,'1267955,38','1215264,88'
,22/01/2011 22:50:00,40887,0,'1268526,88','1215264,88'
,22/01/2011 23:00:00,40887,0,'1269098,25','1215264,88'
,22/01/2011 23:10:00,40887,0,'1269669,75','1215264,88'
,22/01/2011 23:20:00,40887,0,'1270241,13','1215264,88'
,22/01/2011 23:30:00,40887,0,'1270812,5','1215264,88'
,22/01/2011 23:40:00,40887,0,'1271383,88','1215264,88'
,22/01/2011 23:50:00,40887,0,'1271955,25','1215264,88'
,23/01/2011 00:00:00,40887,0,'1272526,63','1215264,88'
,23/01/2011 00:10:00,40887,0,'1273098,13','1215264,88'
,23/01/2011 00:20:00,40887,0,'1273669,75','1215264,88'
,23/01/2011 00:30:00,40887,0,'1274241,25','1215264,88'
,23/01/2011 00:40:00,40887,0,'1274812,75','1215264,88'
,23/01/2011 00:50:00,40887,0,'1275384,38','1215264,88'
,23/01/2011 01:00:00,40887,0,'1275955,88','1215264,88'
,23/01/2011 01:10:00,40887,0,'1276527,5','1215264,88'
,23/01/2011 01:20:00,40887,0,'1277098,88','1215264,88'
,23/01/2011 01:30:00,40887,0,'1277670,38','1215264,88'
,23/01/2011 01:40:00,40887,0,1278242,'1215264,88'
,23/01/2011 01:50:00,40887,0,'1278813,38','1215264,88'
,23/01/2011 02:00:00,40887,0,1279385,'1215264,88'
,23/01/2011 02:10:00,40887,0,'1279956,5','1215264,88'
,23/01/2011 02:20:00,40887,0,'1280527,88','1215264,88'
,23/01/2011 02:30:00,40887,0,'1281099,13','1215264,88'
,23/01/2011 02:40:00,40887,0,1281670,'1215264,88'
,23/01/2011 02:50:00,40887,0,'1282240,75','1215264,88'
,23/01/2011 03:00:00,40887,0,'1282810,63','1215264,88'
,23/01/2011 03:10:00,40887,0,'1283381,5','1215264,88'
,23/01/2011 03:20:00,40887,0,'1283953,25','1215264,88'
,23/01/2011 03:30:00,40887,0,'1284524,25','1215264,88'
,23/01/2011 03:40:00,40887,0,'1285095,38','1215264,88'
,23/01/2011 03:50:00,40887,0,'1285666,5','1215264,88'
,23/01/2011 04:00:00,40887,0,'1286237,5','1215264,88'
,23/01/2011 04:10:00,40887,0,'1286808,63','1215264,88'
,23/01/2011 04:20:00,40887,0,'1287379,75','1215264,88'
,23/01/2011 04:30:00,40887,0,'1287949,88','1215264,88'
,23/01/2011 04:40:00,40887,0,1288521,'1215264,88'
,23/01/2011 04:50:00,40887,0,'1289092,25','1215264,88'
,23/01/2011 05:00:00,40887,0,'1289663,75','1215264,88'
,23/01/2011 05:10:00,40887,0,'1290235,38','1215264,88'
,23/01/2011 05:20:00,40887,0,'1290806,88','1215264,88'
,23/01/2011 05:30:00,40887,0,'1291378,38','1215264,88'
,23/01/2011 05:40:00,40887,0,1291950,'1215264,88'
,23/01/2011 05:50:00,40887,0,'1292521,5','1215264,88'
,23/01/2011 06:00:00,40887,0,1293093,'1215264,88'
,23/01/2011 06:10:00,40887,0,'1293664,5','1215264,88'
,23/01/2011 06:20:00,40887,0,'1294235,88','1215264,88'
,23/01/2011 06:30:00,40887,0,'1294808,25','1215264,88'
,23/01/2011 06:40:00,40887,0,'1295379,5','1215264,88'
,23/01/2011 06:50:00,40887,0,'1295950,88','1215264,88'
,23/01/2011 07:00:00,40887,0,1296522,'1215264,88'
,23/01/2011 07:10:00,40887,0,'1297091,88','1215264,88'
,23/01/2011 07:20:00,40887,0,'1297662,5','1215264,88'
,23/01/2011 07:30:00,40887,0,'1298232,38','1215264,88'
,23/01/2011 07:40:00,40887,0,'1298801,75','1215264,88'
,23/01/2011 07:50:00,40887,0,'1299370,88','1215264,88'
,23/01/2011 08:00:00,40887,0,'1299940,5','1215264,88'
,23/01/2011 08:10:00,40887,0,'1300509,13','1215264,88'
,23/01/2011 08:20:00,40887,0,'1301077,63','1215264,88'
,23/01/2011 08:30:00,40887,0,'1301646,75','1215264,88'
,23/01/2011 08:40:00,40887,0,'1302216,13','1215264,88'
,23/01/2011 08:50:00,40887,0,'1302785,63','1215264,88'
,23/01/2011 09:00:00,40887,0,'1303354,75','1215264,88'
,23/01/2011 09:10:00,40887,0,1303923,'1215264,88'
,23/01/2011 09:20:00,40887,0,'1304491,13','1215264,88'
,23/01/2011 09:30:00,40887,0,'1305058,13','1215264,88'
,23/01/2011 09:40:00,40887,0,'1305622,75','1215264,88'
,23/01/2011 09:50:00,40887,0,'1306187,13','1215264,88'
,23/01/2011 10:00:00,40887,0,'1306750,75','1215264,88'
,23/01/2011 10:10:00,40887,0,'1307313,75','1215264,88'
,23/01/2011 10:20:00,40887,0,'1307876,13','1215264,88'
,23/01/2011 10:30:00,40887,0,'1308437,5','1215264,88'
,23/01/2011 10:40:00,40887,0,'1308997,63','1215264,88'
,23/01/2011 10:50:00,40887,0,'1309556,88','1215264,88'
,23/01/2011 11:00:00,40887,0,'1310116,38','1215264,88'
,23/01/2011 11:10:00,40887,0,'1310676,38','1215264,88'
,23/01/2011 11:20:00,40887,0,'1311239,25','1215264,88'
,23/01/2011 11:30:00,40887,0,'1311803,63','1215264,88'
,23/01/2011 11:40:00,40887,0,'1312369,5','1215264,88'
,23/01/2011 11:50:00,40887,0,1312937,'1215264,88'
,23/01/2011 12:00:00,40887,0,'1313505,63','1215264,88'
,23/01/2011 12:10:00,40887,0,'1314074,75','1215264,88'
,23/01/2011 12:20:00,40887,0,'1314645,13','1215264,88'
,23/01/2011 12:30:00,40887,0,'1315216,25','1215264,88'
,23/01/2011 12:40:00,40887,0,'1315787,75','1215264,88'
,23/01/2011 12:50:00,40887,0,'1316359,75','1215264,88'
,23/01/2011 13:00:00,40887,0,'1316931,88','1215264,88'
,23/01/2011 13:10:00,40887,0,'1317502,38','1215264,88'
,23/01/2011 13:20:00,40887,0,'1318072,5','1215264,88'
,23/01/2011 13:30:00,40887,0,'1318641,88','1215264,88'
,23/01/2011 13:40:00,40887,0,'1319210,25','1215264,88'
,23/01/2011 13:50:00,40887,0,'1319778,38','1215264,88'
,23/01/2011 14:00:00,40887,0,1320347,'1215264,88'
,23/01/2011 14:10:00,40887,0,'1320916,5','1215264,88'
,23/01/2011 14:20:00,40887,0,'1321486,13','1215264,88'
,23/01/2011 14:30:00,40887,0,'1322055,25','1215264,88'
,23/01/2011 14:40:00,40887,0,'1322622,88','1215264,88'
,23/01/2011 14:50:00,40887,0,'1323189,88','1215264,88'
,23/01/2011 15:00:00,40887,0,'1323755,63','1215264,88'
,23/01/2011 15:10:00,40887,0,'1324323,13','1215264,88'
,23/01/2011 15:20:00,40887,0,'1324890,63','1215264,88'
,23/01/2011 15:30:00,40887,0,'1325458,63','1215264,88'
,23/01/2011 15:40:00,40887,0,'1326027,13','1215264,88'
,23/01/2011 15:50:00,40887,0,1326596,'1215264,88'
,23/01/2011 16:00:00,40887,0,'1327165,63','1215264,88'
,23/01/2011 16:10:00,40887,0,1327736,'1215264,88'
,23/01/2011 16:20:00,40887,0,'1328308,13','1215264,88'
,23/01/2011 16:30:00,40887,0,'1328881,38','1215264,88'
,23/01/2011 16:40:00,40887,0,1329456,'1215264,88'
,23/01/2011 16:50:00,40887,0,'1330034,63','1215264,88'
,23/01/2011 17:00:00,40887,0,'1330613,5','1215264,88'
,23/01/2011 17:10:00,40887,0,'1331193,38','1215264,88'
,23/01/2011 17:20:00,40887,0,'1331773,63','1215264,88'
,23/01/2011 17:30:00,40887,0,'1332352,5','1215264,88'
,23/01/2011 17:40:00,40887,0,'1332930,75','1215264,88'
,23/01/2011 17:50:00,'40901,63',0,1333509,'1215278,75'
,23/01/2011 18:00:00,'40902,58',0,'1334086,63',1215279
,23/01/2011 18:10:00,'40903,52',0,'1334663,5','1215279,25'
,23/01/2011 18:20:00,'40904,47',0,'1335239,63','1215279,63'
,23/01/2011 18:30:00,41347,0,'1335817,88','1215280,38'
,23/01/2011 18:40:00,'42452,94',0,'1337341,88','1216169,88'
,23/01/2011 18:50:00,43526,0,'1339048,63','1217320,5'
,23/01/2011 19:00:00,44479,0,'1340578,38','1218350,38'
,23/01/2011 19:10:00,'45486,34',0,'1342264,63','1219394,75'
,23/01/2011 19:20:00,'45880,93',0,'1343403,75','1220030,38'
,23/01/2011 19:30:00,'46581,98',0,'1344566,63','1220612,13'
,23/01/2011 19:40:00,'47143,02',0,1345653,'1221154,13'
,23/01/2011 19:50:00,'47572,2',0,'1346745,75','1221688,38'
,23/01/2011 20:00:00,48237,0,'1347776,63','1222181,63'
,23/01/2011 20:10:00,48915,0,'1349086,13',1222893
,23/01/2011 20:20:00,49653,0,'1350389,88','1223668,13'
,23/01/2011 20:30:00,'50255,94',0,'1351733,13','1224441,88'
,23/01/2011 20:40:00,50532,0,'1352531,88','1224718,63'
,23/01/2011 20:50:00,'51424,22',0,'1353764,88','1225307,63'
,23/01/2011 21:00:00,'52308,3',0,'1355192,38','1226210,88'
,23/01/2011 21:10:00,'53137,04',0,1356570,'1226997,63'
,23/01/2011 21:20:00,'54007,22',0,'1357995,13','1227873,88'
